Epoch [1/50], Loss-Train: 1.0333, Accuracy-Train: 0.4609, Loss-Test: 0.4607, Accuracy-Test: 0.8258
Epoch [2/50], Loss-Train: 0.3168, Accuracy-Train: 0.8762, Loss-Test: 0.2864, Accuracy-Test: 0.8861
Epoch [3/50], Loss-Train: 0.2860, Accuracy-Train: 0.8852, Loss-Test: 0.2690, Accuracy-Test: 0.8920
Epoch [4/50], Loss-Train: 0.2605, Accuracy-Train: 0.8947, Loss-Test: 0.2411, Accuracy-Test: 0.9022
Epoch [5/50], Loss-Train: 0.2423, Accuracy-Train: 0.9012, Loss-Test: 0.2321, Accuracy-Test: 0.9047
Epoch [6/50], Loss-Train: 0.2349, Accuracy-Train: 0.9039, Loss-Test: 0.2248, Accuracy-Test: 0.9076
Epoch [7/50], Loss-Train: 0.2292, Accuracy-Train: 0.9060, Loss-Test: 0.2192, Accuracy-Test: 0.9095
Epoch [8/50], Loss-Train: 0.2248, Accuracy-Train: 0.9076, Loss-Test: 0.2182, Accuracy-Test: 0.9096
Epoch [9/50], Loss-Train: 0.2214, Accuracy-Train: 0.9089, Loss-Test: 0.2124, Accuracy-Test: 0.9122
Epoch [10/50], Loss-Train: 0.2183, Accuracy-Train: 0.9098, Loss-Test: 0.2111, Accuracy-Test: 0.9118
Epoch [11/50], Loss-Train: 0.2153, Accuracy-Train: 0.9107, Loss-Test: 0.2076, Accuracy-Test: 0.9136
Epoch [12/50], Loss-Train: 0.2108, Accuracy-Train: 0.9123, Loss-Test: 0.2019, Accuracy-Test: 0.9154
Epoch [13/50], Loss-Train: 0.2073, Accuracy-Train: 0.9135, Loss-Test: 0.1972, Accuracy-Test: 0.9177
Epoch [14/50], Loss-Train: 0.2030, Accuracy-Train: 0.9150, Loss-Test: 0.1954, Accuracy-Test: 0.9175
Epoch [15/50], Loss-Train: 0.1979, Accuracy-Train: 0.9169, Loss-Test: 0.1847, Accuracy-Test: 0.9221
Epoch [16/50], Loss-Train: 0.1902, Accuracy-Train: 0.9198, Loss-Test: 0.1836, Accuracy-Test: 0.9223
Epoch [17/50], Loss-Train: 0.1799, Accuracy-Train: 0.9243, Loss-Test: 0.1621, Accuracy-Test: 0.9324
Epoch [18/50], Loss-Train: 0.1710, Accuracy-Train: 0.9283, Loss-Test: 0.1552, Accuracy-Test: 0.9353
Epoch [19/50], Loss-Train: 0.1642, Accuracy-Train: 0.9310, Loss-Test: 0.1493, Accuracy-Test: 0.9376
Epoch [20/50], Loss-Train: 0.1575, Accuracy-Train: 0.9338, Loss-Test: 0.1420, Accuracy-Test: 0.9402
Epoch [21/50], Loss-Train: 0.1485, Accuracy-Train: 0.9376, Loss-Test: 0.1311, Accuracy-Test: 0.9449
Epoch [22/50], Loss-Train: 0.1281, Accuracy-Train: 0.9464, Loss-Test: 0.1095, Accuracy-Test: 0.9546
Epoch [23/50], Loss-Train: 0.1159, Accuracy-Train: 0.9517, Loss-Test: 0.1045, Accuracy-Test: 0.9565
Epoch [24/50], Loss-Train: 0.1102, Accuracy-Train: 0.9541, Loss-Test: 0.0984, Accuracy-Test: 0.9590
Epoch [25/50], Loss-Train: 0.1070, Accuracy-Train: 0.9555, Loss-Test: 0.0990, Accuracy-Test: 0.9598
Epoch [26/50], Loss-Train: 0.1036, Accuracy-Train: 0.9570, Loss-Test: 0.0993, Accuracy-Test: 0.9591
Epoch [27/50], Loss-Train: 0.1019, Accuracy-Train: 0.9577, Loss-Test: 0.0938, Accuracy-Test: 0.9617
Epoch [28/50], Loss-Train: 0.0997, Accuracy-Train: 0.9587, Loss-Test: 0.0933, Accuracy-Test: 0.9621
Epoch [29/50], Loss-Train: 0.0980, Accuracy-Train: 0.9593, Loss-Test: 0.0983, Accuracy-Test: 0.9592
Epoch [30/50], Loss-Train: 0.0967, Accuracy-Train: 0.9599, Loss-Test: 0.0967, Accuracy-Test: 0.9597
Epoch [31/50], Loss-Train: 0.0952, Accuracy-Train: 0.9606, Loss-Test: 0.0918, Accuracy-Test: 0.9622
Epoch [32/50], Loss-Train: 0.0949, Accuracy-Train: 0.9606, Loss-Test: 0.0887, Accuracy-Test: 0.9637
Epoch [33/50], Loss-Train: 0.0936, Accuracy-Train: 0.9612, Loss-Test: 0.0864, Accuracy-Test: 0.9647
Epoch [34/50], Loss-Train: 0.0928, Accuracy-Train: 0.9615, Loss-Test: 0.0875, Accuracy-Test: 0.9642
Epoch [35/50], Loss-Train: 0.0923, Accuracy-Train: 0.9617, Loss-Test: 0.0863, Accuracy-Test: 0.9646
Epoch [36/50], Loss-Train: 0.0917, Accuracy-Train: 0.9620, Loss-Test: 0.0873, Accuracy-Test: 0.9642
Epoch [37/50], Loss-Train: 0.0905, Accuracy-Train: 0.9625, Loss-Test: 0.0885, Accuracy-Test: 0.9635
Epoch [38/50], Loss-Train: 0.0904, Accuracy-Train: 0.9625, Loss-Test: 0.0881, Accuracy-Test: 0.9638
Epoch [39/50], Loss-Train: 0.0899, Accuracy-Train: 0.9626, Loss-Test: 0.0860, Accuracy-Test: 0.9648
Epoch [40/50], Loss-Train: 0.0896, Accuracy-Train: 0.9629, Loss-Test: 0.0838, Accuracy-Test: 0.9656
Epoch [41/50], Loss-Train: 0.0891, Accuracy-Train: 0.9630, Loss-Test: 0.0828, Accuracy-Test: 0.9661
Epoch [42/50], Loss-Train: 0.0889, Accuracy-Train: 0.9631, Loss-Test: 0.0837, Accuracy-Test: 0.9658
Epoch [43/50], Loss-Train: 0.0881, Accuracy-Train: 0.9634, Loss-Test: 0.0937, Accuracy-Test: 0.9606
Epoch [44/50], Loss-Train: 0.0875, Accuracy-Train: 0.9636, Loss-Test: 0.0847, Accuracy-Test: 0.9652
Epoch [45/50], Loss-Train: 0.0880, Accuracy-Train: 0.9634, Loss-Test: 0.0851, Accuracy-Test: 0.9648
Epoch [46/50], Loss-Train: 0.0871, Accuracy-Train: 0.9638, Loss-Test: 0.0872, Accuracy-Test: 0.9636
Epoch [47/50], Loss-Train: 0.0867, Accuracy-Train: 0.9640, Loss-Test: 0.0822, Accuracy-Test: 0.9662
Epoch [48/50], Loss-Train: 0.0862, Accuracy-Train: 0.9642, Loss-Test: 0.0809, Accuracy-Test: 0.9666
Epoch [49/50], Loss-Train: 0.0864, Accuracy-Train: 0.9640, Loss-Test: 0.0838, Accuracy-Test: 0.9652
Epoch [50/50], Loss-Train: 0.0860, Accuracy-Train: 0.9642, Loss-Test: 0.0819, Accuracy-Test: 0.9665
