Epoch [1/450], Loss-Train: 0.1677, Accuracy-Train: 0.9268, Loss-Test: 0.1813, Accuracy-Test: 0.9303
Epoch [2/450], Loss-Train: 0.1695, Accuracy-Train: 0.9324, Loss-Test: 0.1799, Accuracy-Test: 0.9347
Epoch [3/450], Loss-Train: 0.1731, Accuracy-Train: 0.9264, Loss-Test: 0.2001, Accuracy-Test: 0.9199
Epoch [4/450], Loss-Train: 0.1713, Accuracy-Train: 0.9328, Loss-Test: 0.1770, Accuracy-Test: 0.9258
Epoch [5/450], Loss-Train: 0.1705, Accuracy-Train: 0.9298, Loss-Test: 0.2109, Accuracy-Test: 0.9184
Epoch [6/450], Loss-Train: 0.1719, Accuracy-Train: 0.9257, Loss-Test: 0.1727, Accuracy-Test: 0.9288
Epoch [7/450], Loss-Train: 0.1671, Accuracy-Train: 0.9320, Loss-Test: 0.1824, Accuracy-Test: 0.9332
Epoch [8/450], Loss-Train: 0.1662, Accuracy-Train: 0.9287, Loss-Test: 0.1909, Accuracy-Test: 0.9243
Epoch [9/450], Loss-Train: 0.1664, Accuracy-Train: 0.9346, Loss-Test: 0.1842, Accuracy-Test: 0.9273
Epoch [10/450], Loss-Train: 0.1638, Accuracy-Train: 0.9287, Loss-Test: 0.1743, Accuracy-Test: 0.9273
Epoch [11/450], Loss-Train: 0.1733, Accuracy-Train: 0.9298, Loss-Test: 0.1793, Accuracy-Test: 0.9303
Epoch [12/450], Loss-Train: 0.1701, Accuracy-Train: 0.9246, Loss-Test: 0.1999, Accuracy-Test: 0.9243
Epoch [13/450], Loss-Train: 0.1694, Accuracy-Train: 0.9272, Loss-Test: 0.1798, Accuracy-Test: 0.9288
Epoch [14/450], Loss-Train: 0.1714, Accuracy-Train: 0.9264, Loss-Test: 0.1846, Accuracy-Test: 0.9228
Epoch [15/450], Loss-Train: 0.1714, Accuracy-Train: 0.9283, Loss-Test: 0.1889, Accuracy-Test: 0.9303
Epoch [16/450], Loss-Train: 0.1744, Accuracy-Train: 0.9287, Loss-Test: 0.1780, Accuracy-Test: 0.9288
Epoch [17/450], Loss-Train: 0.1676, Accuracy-Train: 0.9294, Loss-Test: 0.1942, Accuracy-Test: 0.9243
Epoch [18/450], Loss-Train: 0.1792, Accuracy-Train: 0.9235, Loss-Test: 0.1770, Accuracy-Test: 0.9273
Epoch [19/450], Loss-Train: 0.1658, Accuracy-Train: 0.9276, Loss-Test: 0.1872, Accuracy-Test: 0.9258
Epoch [20/450], Loss-Train: 0.1711, Accuracy-Train: 0.9283, Loss-Test: 0.1767, Accuracy-Test: 0.9288
Epoch [21/450], Loss-Train: 0.1669, Accuracy-Train: 0.9294, Loss-Test: 0.1767, Accuracy-Test: 0.9288
Epoch [22/450], Loss-Train: 0.1658, Accuracy-Train: 0.9283, Loss-Test: 0.1840, Accuracy-Test: 0.9318
Epoch [23/450], Loss-Train: 0.1700, Accuracy-Train: 0.9253, Loss-Test: 0.1932, Accuracy-Test: 0.9258
Epoch [24/450], Loss-Train: 0.1687, Accuracy-Train: 0.9324, Loss-Test: 0.1808, Accuracy-Test: 0.9303
Epoch [25/450], Loss-Train: 0.1745, Accuracy-Train: 0.9294, Loss-Test: 0.1773, Accuracy-Test: 0.9288
Epoch [26/450], Loss-Train: 0.1658, Accuracy-Train: 0.9339, Loss-Test: 0.1826, Accuracy-Test: 0.9318
Epoch [27/450], Loss-Train: 0.1707, Accuracy-Train: 0.9316, Loss-Test: 0.1776, Accuracy-Test: 0.9258
Epoch [28/450], Loss-Train: 0.1744, Accuracy-Train: 0.9294, Loss-Test: 0.1923, Accuracy-Test: 0.9228
Epoch [29/450], Loss-Train: 0.1702, Accuracy-Train: 0.9261, Loss-Test: 0.1907, Accuracy-Test: 0.9199
Epoch [30/450], Loss-Train: 0.1782, Accuracy-Train: 0.9268, Loss-Test: 0.1857, Accuracy-Test: 0.9258
Epoch [31/450], Loss-Train: 0.1717, Accuracy-Train: 0.9279, Loss-Test: 0.1833, Accuracy-Test: 0.9243
Epoch [32/450], Loss-Train: 0.1872, Accuracy-Train: 0.9168, Loss-Test: 0.2227, Accuracy-Test: 0.9021
Epoch [33/450], Loss-Train: 0.1903, Accuracy-Train: 0.9175, Loss-Test: 0.1753, Accuracy-Test: 0.9362
Epoch [34/450], Loss-Train: 0.1789, Accuracy-Train: 0.9242, Loss-Test: 0.1799, Accuracy-Test: 0.9332
Epoch [35/450], Loss-Train: 0.1672, Accuracy-Train: 0.9279, Loss-Test: 0.1894, Accuracy-Test: 0.9243
Epoch [36/450], Loss-Train: 0.1754, Accuracy-Train: 0.9209, Loss-Test: 0.1786, Accuracy-Test: 0.9243
Epoch [37/450], Loss-Train: 0.1774, Accuracy-Train: 0.9261, Loss-Test: 0.1786, Accuracy-Test: 0.9303
Epoch [38/450], Loss-Train: 0.1638, Accuracy-Train: 0.9339, Loss-Test: 0.1778, Accuracy-Test: 0.9318
Epoch [39/450], Loss-Train: 0.1651, Accuracy-Train: 0.9346, Loss-Test: 0.1797, Accuracy-Test: 0.9228
Epoch [40/450], Loss-Train: 0.1657, Accuracy-Train: 0.9320, Loss-Test: 0.1774, Accuracy-Test: 0.9288
Epoch [41/450], Loss-Train: 0.1682, Accuracy-Train: 0.9279, Loss-Test: 0.1805, Accuracy-Test: 0.9214
Epoch [42/450], Loss-Train: 0.1712, Accuracy-Train: 0.9279, Loss-Test: 0.1848, Accuracy-Test: 0.9273
Epoch [43/450], Loss-Train: 0.1741, Accuracy-Train: 0.9231, Loss-Test: 0.2000, Accuracy-Test: 0.9258
Epoch [44/450], Loss-Train: 0.1703, Accuracy-Train: 0.9287, Loss-Test: 0.1782, Accuracy-Test: 0.9243
Epoch [45/450], Loss-Train: 0.1674, Accuracy-Train: 0.9302, Loss-Test: 0.1854, Accuracy-Test: 0.9273
Epoch [46/450], Loss-Train: 0.1644, Accuracy-Train: 0.9279, Loss-Test: 0.1899, Accuracy-Test: 0.9243
Epoch [47/450], Loss-Train: 0.1702, Accuracy-Train: 0.9242, Loss-Test: 0.1894, Accuracy-Test: 0.9303
