Epoch [1/500], Loss-Train: 1.0701, Accuracy-Train: 0.4640, Loss-Test: 2.6743, Accuracy-Test: 0.9316
Epoch [2/500], Loss-Train: 1.0601, Accuracy-Train: 0.4653, Loss-Test: 2.5750, Accuracy-Test: 1.4335
Epoch [3/500], Loss-Train: 1.0509, Accuracy-Train: 0.4638, Loss-Test: 2.5284, Accuracy-Test: 1.4312
Epoch [4/500], Loss-Train: 1.0437, Accuracy-Train: 0.4660, Loss-Test: 2.6111, Accuracy-Test: 0.9345
Epoch [5/500], Loss-Train: 1.0421, Accuracy-Train: 0.4660, Loss-Test: 2.6239, Accuracy-Test: 0.9346
Epoch [6/500], Loss-Train: 1.0448, Accuracy-Train: 0.4650, Loss-Test: 2.4433, Accuracy-Test: 1.4330
Epoch [7/500], Loss-Train: 1.0456, Accuracy-Train: 0.4629, Loss-Test: 2.6422, Accuracy-Test: 0.9299
Epoch [8/500], Loss-Train: 1.0413, Accuracy-Train: 0.4658, Loss-Test: 2.8882, Accuracy-Test: 0.9343
Epoch [9/500], Loss-Train: 1.0416, Accuracy-Train: 0.4662, Loss-Test: 2.6296, Accuracy-Test: 0.9349
Epoch [10/500], Loss-Train: 1.0417, Accuracy-Train: 0.4655, Loss-Test: 2.4794, Accuracy-Test: 1.4338
Epoch [11/500], Loss-Train: 1.0425, Accuracy-Train: 0.4653, Loss-Test: 2.8802, Accuracy-Test: 0.9335
Epoch [12/500], Loss-Train: 1.0434, Accuracy-Train: 0.4636, Loss-Test: 2.8913, Accuracy-Test: 0.9310
Epoch [13/500], Loss-Train: 1.0413, Accuracy-Train: 0.4667, Loss-Test: 2.6178, Accuracy-Test: 0.9356
Epoch [14/500], Loss-Train: 1.0412, Accuracy-Train: 0.4659, Loss-Test: 2.4665, Accuracy-Test: 1.4344
Epoch [15/500], Loss-Train: 1.0417, Accuracy-Train: 0.4653, Loss-Test: 2.9112, Accuracy-Test: 0.9335
Epoch [16/500], Loss-Train: 1.0417, Accuracy-Train: 0.4659, Loss-Test: 2.9120, Accuracy-Test: 0.9344
Epoch [17/500], Loss-Train: 1.0426, Accuracy-Train: 0.4642, Loss-Test: 2.4620, Accuracy-Test: 1.4318
Epoch [18/500], Loss-Train: 1.0411, Accuracy-Train: 0.4664, Loss-Test: 2.6283, Accuracy-Test: 0.9351
Epoch [19/500], Loss-Train: 1.0429, Accuracy-Train: 0.4659, Loss-Test: 2.4683, Accuracy-Test: 1.4344
